,Control,Def,ILD-H,ILD-N,IPF,Poss,Pro,Un,Mix
8.53_508.3715,90.92150082758604,1850.8429655603416,135.301752827586,138.1448072413791,149.36637962068903,2454.9414556551615,1022.9648502586188,999.317299868337,971.4146713674172
8.92_508.375,5091.184227531023,73521.58337034463,6754.190470344818,3214.6977703448215,6266.614293310336,108839.77142034455,52821.72492034468,42372.6160085266,41466.501559999975
5.66_317.2115,143.80833600000003,2520.0757746874997,551.88329,0.0,89.3457,405.18418,58.011955,269.6857618181819,83.6640827586207
6.38_317.2107,8.111252,3440.1979281249996,0.0,0.0,0.0,4807.286831999999,2057.7094650000004,1280.70104,926.6201862068966
8.24_317.2108,810.2010112689645,35066.41735470902,0.0,0.0,829.044714034482,28647.6676403448,31893.026083327557,35085.626964332245,23576.992519655145
7.47_317.2106,256.45534145655097,23533.867385396476,25.4843524689654,4.9022244689655,123.27670513793028,20870.581472344806,15778.288412344811,14373.725083714093,11634.492462344806
7.34_317.2109,103.62906573793067,12069.51402036636,0.0,0.0,1.7125371724137899,11149.720474551703,9869.935563137913,10025.721268840109,6336.322213103441
7.89_317.2092,8.75102236,530.40269434375,0.0,0.0,0.0,530.25751,887.5761499999999,508.6715672727272,193.65253448275863
8.04_317.2105,0.0,2144.5274684267197,0.0,0.0,8.52527575862069,1930.5421870689613,2265.6107934482716,1958.7942696551688,823.811991795479
8.7_636.3496,222817.016693103,320585.0858681031,240170.821493103,247172.26149310297,265214.06149310304,320547.7214931031,312977.366493103,310832.801493103,330004.7566655168
8.52_524.3708,553657.7782303019,1855552.9603302993,521600.22783030197,635362.5278303017,729056.1378303019,2113079.7828302993,1618774.4928302998,1666994.046012118,1504489.7374854714
8.7_524.3711,5898056.990034477,16754294.096284399,6133211.590034479,6535719.790034464,7653676.290034471,18334099.9400344,15620494.590034405,15311771.571852589,13713589.293482669
8.52_568.3617,546032.0107120678,1404324.369462062,545093.4907120687,603922.0107120688,690400.7007120678,1517292.6207120616,1255208.7557120617,1251242.7379847902,1203639.5231258539
8.69_568.3619,3464888.997965508,7057971.4939655075,3587850.5939655104,3795060.1939655105,4262158.89396551,7360082.993965508,6648326.943965508,6549368.66669278,6415735.44224137
8.59_297.242,3659.431372413788,5041.862753232752,1516.6600344827561,1907.756034482758,1713.2450344827532,5333.587224137923,3326.2930431034447,3119.460460815041,3146.921070154574
9.39_297.2422,9309.432975862035,13266.566088362017,5869.227775862048,7201.419775862052,8208.339775862045,14188.346275862015,11704.152275862016,11041.56715768021,13191.016465517194
9.16_297.2421,8978.355941379306,15122.173941379304,8281.677941379308,7838.227941379309,8385.284941379305,15684.7024413793,12259.367941379302,11129.570668652032,12131.63325172413
8.96_510.3909,18408.82231217653,204142.88247101707,13352.584333517216,12554.658733517219,12421.959933517224,251370.18103351706,136360.35053351714,105272.57904260802,111261.46032662055
9.03_852.5616,15253.338765517226,393194.5333954739,0.0,0.0,104.949382758621,421649.8383275857,272151.99863620667,218090.51150658296,231100.2641724136
7.62_480.3413,156.23332,4290.295925000002,139.10556000000003,135.66682,640.63683,5946.21307,1312.9535449999998,2781.124256363636,1779.1996241379306
8.02_480.3429,61789.942151034295,475960.3852060338,70003.94283103432,62501.23883103432,87938.38783103434,553857.6933310337,351393.920831034,323225.2366492158,295109.30876206845
7.24_327.2316,3426.573542758619,3204.37991550862,5862.21064675862,6111.177246758615,6149.654046758619,3257.0384167586203,3959.60759675862,4409.683264940439,3680.5452743448272
7.35_327.2317,11592.81667620685,12636.150976206829,19566.878476206817,22515.37307620682,22640.740476206833,12341.41157620685,15216.40502620683,17256.176148934093,14591.109027930965
9.07_327.2323,88587.87059655141,141140.11233405134,161977.36139655113,226850.96139655128,141378.76739655124,137871.76339655143,142795.45089655134,126366.49357836951,139235.35243103406
7.84_303.2315,0.024094532000000002,844.7611687499999,0.0,0.0,18.68888,655.7718199999999,750.3875310000001,593.7333385454544,225.2407620689655
9.23_303.2317,35338.01142075859,98717.89992325836,53855.160860758486,57932.18386075848,35101.522760758606,97334.67886075836,98568.94986075835,97579.85049712204,90005.60117110318
7.96_303.2288,43.454312,2664.03414375,0.0,0.0,87.966128,2369.00999,1862.569865,1898.5499472727279,1150.1263448275863
9.37_831.4705,7585.460602262023,13499.001366206845,2003.5083197241336,5944.8958662068735,4238.531319724117,11130.251479586163,12534.239366206848,12332.624998344776,14203.501797241313
9.55_874.5441,18574.59421241377,255476.82326724136,4470.367765517226,4660.865765517224,3829.701510344813,274300.29127586196,232752.409275862,204341.69088902816,182256.0745517241
9.1_854.5534,57.317828000000006,14767.365346875002,0.0,0.0,0.0,19420.158525,12221.585149999997,7768.409507272729,4503.141548275861
9.21_854.5537,161.60052193103422,9578.452481249984,0.0,0.0,57.0514379310344,12952.82078517239,8178.711866206878,5983.643236614406,2399.480001426871
10.44_838.5572,1251.3642423448246,3980.6696258620573,763.22828965517,696.2570572413781,497.02738862068855,7219.293913448257,3626.98832913792,4241.966296300933,1037.1916856123642
9.63_882.5501,17382.75806482756,340922.8462790946,1355.724393103452,0.0,6203.72219655172,350023.82196551695,304731.76696551696,263844.3888388714,201119.3909310343
9.69_832.5729,1999.8777038620642,20193.660942887873,820.308174482758,505.97657448275805,1296.923861724137,22176.784297930997,19366.172191551686,16218.56501592472,5623.291007372146
